label	text	split
0	s Kamen Rider. Ronhjones	train
0	  No way, Mercedez PWNZ!!	train
0	"  MoP, Have you been reading anything I have written?  Did you intend to ""sort out a few things"" or was that mainly said for appearances?"	dev
0	  == Country profiles? ==  Hi, I saw your notice on the community portal, what exactly is it that you want people to do? The notice is not very clear.   	test
0	  Pete, I have discussed this change. You are saying I haven't discussed it simply because you don't agree with my reasoning. But I'm tired of your attempts at stalling progress. You will be reported if you revert again. You are out of line with wikipedia policyreverting is only to be used in cases of blatant vandalism. This is a constructive edit.   I have made my points ALREADY on the talk page and you ignore the good points and spin the ones that are easily spun. So what am I supposed to do? Besides, I don't have to have your permission to edit.  	test
0	  == Re: Coordinator Elections! ==  Well, while I've been a bit tardy these recent times, yes, I will probably stand again now that the pressures of life are easing off! I'm also going to put in some graft and finish the last chunks of my pet project, Military history of New Zealand. Good luck to you!  e 	train
0	"  :I have no objection to you continuing to edit the article if you undertake to uphold WP:NPOV. You are currently not doing so: phrases such as ""miraculous u-turn"" are POV, whether they seem so to you or not.   "	dev
0	  == February 2006 ==  Thanks for experimenting with the page Arminianism on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.  Thanks.   	train
0	  what european power took over algeria?	train
0	  Please leave Lir's nomination up at Requests for adminship. The nomination will attract further attention to him, and make it more likely that the community will find new, constructive ways of dealing with (or IMO hopefully sanctioning) him.  	test
0	 Source 1].Another source states that there are still 200,000 stray dogs in Bucharest.Source 2	train
0	" :The ""corporate sell-out"" began in 1981 when the Cubs were sold to the Tribune. This still doesn't merit more than one sentence. It's just another way to raise money to pay these yahoos' inflated salaries.  '''' "	dev
0	  ::What i'm talking about are edits such as this and this. Repeated undoing the good faith edits by other users, even if the material is not correctly sourced or slightly POV is edit warring. As I said explaining the reasons for your actions in a message on the talk pages of the users involved would have been a better way to go about things and may have prevented the material being repeatedly re-added.  . 	train
0	  :This should be fixed now.	dev
0	 :::::Oh, and to come back to this again, in-episode context is a good reference, otherwise all of the G.I. Joe articles are improperly sourced. Because each and every one of those articles references the comic book issues directly.   	train
0	 :: Thanks for translate.   	train
0	  Please do not add commentary and your personal analysis of an article into Wikipedia articles. Doing so violates Wikipedia's NPOV rules and breaches the formal tone expected in an encyclopedia. If you would like to experiment, use the sandbox. Thank you.  ˑ 	train
0	  1) I did not see any warning prior to your block. I was busy responding to the ANI, and did not go do other things, like read my Talk. 2) I have no idea what personal attack you are referring to that triggered your block. (And whatever it was, what about the personal attacks User:Maxbrowne made at the ANI, that baited? Are we picking and choosing here, according to ... what standard of fair? It was no my idea to open the ANI. It was no my idea that MaxBrowne would go to it and issue personal attacks. Hello.   	train
0	   ==Vandalism on Muhammad page==  Perhaps that was the wrong way to deal with it, but  has, along with many others from both sides (see the history, I am vigilant about each, most of my edits are eliminating spam links such as Answering Islam or Answering Christianity), been essentially vandalizing this page by coming back from time to time and eliminating language that has been hammered out, if occasionally with contention, on the talk page. 	dev
0	  == This is Spitfire ==  I'm a giant douche, that's why I monitor Wikipedia 24/7. I've never been laid and live in my mommy's basement, even though I'm 48 years old. To all the ladies, please give me a chance.... even though my penis is only 2 inches long.	train
0	  Reply to Reply Reply to the previous paragraph: Ok, i was not aware of the nofollow attribute. Also, I have found a good link from your site to be put in the link list, and that is the part of your site which is also relevant to the article: http://www.omisinfo.com/omis/about-omis/ As for you paying taxes in Croatia being a reason to have a right to put stuff on Wikipedia...please, get serious. I also invested money, time and energy to build the financial basis for my life, and yet I do not feel that it has' to be advertised on Wikipedia becase I put so much effort in it.  Anyway, AFAIC, you are free to change the article as you wish. I will not object, there is no point.	test
0	 :::It's already only two sentences; there's no need to shorten it further.   	dev
